交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/10/26,TXO,201811  ,8800.0000,買權,795,830,790,830,17,-,-,800,1700,1230,745,,盤後,
2018/10/26,TXO,201811  ,8800.0000,賣權,60,107,60,85,3777,85,11479,82,85,128,13,,一般,
2018/10/26,TXO,201811  ,8800.0000,賣權,71,72,43,49,1172,-,-,47,48.5,128,13,,盤後,
2018/10/26,TXO,201811  ,8900.0000,買權,575,635,575,635,13,620,77,610,630,1080,575,,一般,
2018/10/26,TXO,201811  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,8900.0000,賣權,69,124,69,97,4389,97,4575,96,99,143,15,,一般,
2018/10/26,TXO,201811  ,8900.0000,賣權,85,86,56,56,704,-,-,56,67,143,15,,盤後,
2018/10/26,TXO,201811  ,9000.0000,買權,620,625,505,545,281,545,342,530,540,1440,505,,一般,
2018/10/26,TXO,201811  ,9000.0000,買權,625,650,625,650,16,-,-,130,-,1440,575,,盤後,
2018/10/26,TXO,201811  ,9000.0000,賣權,83,145,83,115,7092,115,10040,114,116,156,5,,一般,
2018/10/26,TXO,201811  ,9000.0000,賣權,100,102,66,71,2835,-,-,71,73,156,5,,盤後,
2018/10/26,TXO,201811  ,9100.0000,買權,520,520,430,465,188,465,321,453,464,1960,166,,一般,
2018/10/26,TXO,201811  ,9100.0000,買權,545,555,545,555,6,-,-,130,-,1960,166,,盤後,
2018/10/26,TXO,201811  ,9100.0000,賣權,100,169,99,136,4261,136,6426,134,139,169,6,,一般,
2018/10/26,TXO,201811  ,9100.0000,賣權,119,119,80,87,1881,-,-,86,87,166,6,,盤後,
2018/10/26,TXO,201811  ,9200.0000,買權,467,467,345,394,262,383,586,381,388,870,345,,一般,
2018/10/26,TXO,201811  ,9200.0000,買權,460,477,448,477,12,-,-,430,-,870,416,,盤後,
2018/10/26,TXO,201811  ,9200.0000,賣權,119,200,118,159,4990,159,7027,160,165,200,6.8,,一般,
2018/10/26,TXO,201811  ,9200.0000,賣權,138,142,92,94,1276,-,-,96,101,200,6.8,,盤後,
2018/10/26,TXO,201811  ,9300.0000,買權,385,396,281,318,475,318,795,309,318,800,281,,一般,
2018/10/26,TXO,201811  ,9300.0000,買權,370,421,367,421,56,-,-,371,500,800,341,,盤後,
2018/10/26,TXO,201811  ,9300.0000,賣權,144,236,143,192,5240,192,8274,190,195,236,7.7,,一般,
2018/10/26,TXO,201811  ,9300.0000,賣權,167,170,110,127,955,-,-,120,128,230,7.7,,盤後,
2018/10/26,TXO,201811  ,9400.0000,買權,318,336,220,251,1434,251,2092,248,255,670,220,,一般,
2018/10/26,TXO,201811  ,9400.0000,買權,301,356,299,350,127,-,-,310,400,670,271,,盤後,
2018/10/26,TXO,201811  ,9400.0000,賣權,173,278,170,228,5038,228,7010,226,233,350,8.6,,一般,
2018/10/26,TXO,201811  ,9400.0000,賣權,196,201,143,158,1104,-,-,150,169,350,8.6,,盤後,
2018/10/26,TXO,201811  ,9500.0000,買權,254,273,166,193,4555,193,3536,191,196,625,166,,一般,
